title,category,category_name,slug,anzsco,median_pay_annual,median_pay_weekly,median_ft_hourly,entry_education,skill_level,employed,projected_2029,projected_2034,outlook_pct,outlook_desc,part_time_pct,female_pct,median_age,url
Chief Executives and Managing Directors,managers,Managers,chief-executives-and-managing-directors,1111,,,,Bachelor degree,1,64100,60647,64694,5.8,Moderate growth,14,30,51,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1111-chief-executives-and-managing-directors
General Managers,managers,Managers,general-managers,1112,,,,Bachelor degree,1,67500,73089,77999,5.5,Moderate growth,11,38,48,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1112-general-managers
Legislators,managers,Managers,legislators,1113,,,,Bachelor degree,1,2700,2947,3095,2.5,Stable,31,48,64,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1113-legislators
Aquaculture Farmers,managers,Managers,aquaculture-farmers,1211,,,,Year 11 or below,1,1800,1682,1803,0.7,Stable,32,18,56,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1211-aquaculture-farmers
Crop Farmers,managers,Managers,crop-farmers,1212,,,,Year 11 or below,1,35800,36793,38502,0.1,Stable,17,22,51,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1212-crop-farmers
Livestock Farmers,managers,Managers,livestock-farmers,1213,,,,Year 11 or below,1,77800,81490,84261,0.8,Stable,32,30,62,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1213-livestock-farmers
Mixed Crop and Livestock Farmers,managers,Managers,mixed-crop-and-livestock-farmers,1214,,,,Year 11 or below,1,27800,25696,26561,0.8,Stable,19,26,54,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1214-mixed-crop-and-livestock-farmers
"Advertising, Public Relations and Sales Manager",managers,Managers,advertising-public-relations-and-sales-manager,1311,121212,2331,62,Bachelor degree,1,165500,185147,199011,9.4,Moderate growth,10,43,43,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1311-advertising-public-relations-and-sales-manager
Corporate Services Managers,managers,Managers,corporate-services-managers,1321,153816,2958,79,Bachelor degree,1,21400,27822,30381,13.2,Strong growth,14,58,48,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1321-corporate-services-managers
Finance Managers,managers,Managers,finance-managers,1322,162240,3120,84,Bachelor degree,1,75000,80977,88365,13.3,Strong growth,12,47,46,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1322-finance-managers
Human Resource Managers,managers,Managers,human-resource-managers,1323,153192,2946,82,Bachelor degree,1,91800,104927,114739,13.2,Strong growth,11,60,43,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1323-human-resource-managers
Policy and Planning Managers,managers,Managers,policy-and-planning-managers,1324,134368,2584,70,Postgraduate degree,1,38700,38546,41856,11.9,Strong growth,10,56,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1324-policy-and-planning-managers
Research and Development Managers,managers,Managers,research-and-development-managers,1325,127296,2448,65,Postgraduate degree,1,19300,21195,23182,13.7,Strong growth,17,60,43,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1325-research-and-development-managers
Construction Managers,managers,Managers,construction-managers,1331,191932,3691,97,Certificate III/IV,1,134600,149399,159793,15.2,Very strong growth,8,10,42,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1331-construction-managers
Engineering Managers,managers,Managers,engineering-managers,1332,153972,2961,80,Bachelor degree,1,35400,36594,39281,8.4,Moderate growth,9,17,43,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1332-engineering-managers
"Importers, Exporters and Wholesalers",managers,Managers,importers-exporters-and-wholesalers,1333,88764,1707,45,Year 12,1,18500,22700,24387,9.9,Moderate growth,23,32,51,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1333-importers-exporters-and-wholesalers
Manufacturers,managers,Managers,manufacturers,1334,,,,Certificate III/IV,1,21400,25030,26929,4.5,Stable,17,18,49,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1334-manufacturers
Production Managers,managers,Managers,production-managers,1335,134576,2588,64,Certificate III/IV,1,60500,65824,70838,6.7,Moderate growth,5,20,47,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1335-production-managers
"Supply, Distribution and Procurement Managers",managers,Managers,supply-distribution-and-procurement-managers,1336,139100,2675,71,Bachelor degree,1,56800,56237,60280,8.8,Moderate growth,7,29,46,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1336-supply-distribution-and-procurement-managers
Child Care Centre Managers,managers,Managers,child-care-centre-managers,1341,73424,1412,38,Advanced Diploma/Diploma,1,20100,21002,22350,6.3,Moderate growth,24,94,41,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1341-child-care-centre-managers
Health and Welfare Services Managers,managers,Managers,health-and-welfare-services-managers,1342,104832,2016,53,Bachelor degree,1,42300,49796,56447,16.2,Very strong growth,18,71,45,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1342-health-and-welfare-services-managers
School Principals,managers,Managers,school-principals,1343,,,,Bachelor degree,1,29600,30303,32182,6.2,Moderate growth,5,65,47,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1343-school-principals
Other Education Managers,managers,Managers,other-education-managers,1344,137280,2640,70,Postgraduate degree,1,14900,16030,17397,12.6,Strong growth,9,73,48,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1344-other-education-managers
ICT Managers,managers,Managers,ict-managers,1351,183768,3534,93,Bachelor degree,1,86700,111382,121805,15.2,Very strong growth,6,27,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1351-ict-managers
Commissioned Officers (Management),managers,Managers,commissioned-officers-management,1391,,,,Bachelor degree,1,4000,4075,4341,7.9,Moderate growth,9,29,42,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1391-commissioned-officers-management
Senior Non-Commissioned Defence Force Officers,managers,Managers,senior-non-commissioned-defence-force-officers,1392,,,,Advanced Diploma/Diploma,1,4000,281,298,7.4,Moderate growth,10,16,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1392-senior-non-commissioned-defence-force-officers
Other Specialist Managers,managers,Managers,other-specialist-managers,1399,142792,2746,72,Bachelor degree,1,71700,81432,88388,11.9,Strong growth,8,44,45,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1399-other-specialist-managers
Cafe and Restaurant Managers,managers,Managers,cafe-and-restaurant-managers,1411,74932,1441,37,Year 12,2,68200,64334,67586,3.7,Stable,23,57,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1411-cafe-and-restaurant-managers
Caravan Park and Camping Ground Managers,managers,Managers,caravan-park-and-camping-ground-managers,1412,,,,Certificate III/IV,2,3300,2430,2573,1.2,Stable,4,53,51,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1412-caravan-park-and-camping-ground-managers
Hotel and Motel Managers,managers,Managers,hotel-and-motel-managers,1413,,,,Year 12,2,18200,19491,20545,2.7,Stable,16,41,43,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1413-hotel-and-motel-managers
Licensed Club Managers,managers,Managers,licensed-club-managers,1414,,,,Year 12,2,6400,7230,7584,3.5,Stable,12,36,36,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1414-licensed-club-managers
Other Accommodation and Hospitality Managers,managers,Managers,other-accommodation-and-hospitality-managers,1419,,,,Bachelor degree,2,9600,7546,8073,3.7,Stable,35,58,48,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1419-other-accommodation-and-hospitality-managers
Retail Managers,managers,Managers,retail-managers,1421,76544,1472,36,Year 12,2,250700,244546,254778,2.6,Stable,19,49,41,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1421-retail-managers
"Amusement, Fitness and Sports Centre Managers",managers,Managers,amusement-fitness-and-sports-centre-managers,1491,93912,1806,48,Bachelor degree,2,18500,18246,19369,6.4,Moderate growth,26,38,36,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1491-amusement-fitness-and-sports-centre-managers
"Call, Contact Centre and Customer Service Managers",managers,Managers,call-contact-centre-and-customer-service-managers,1492,98176,1888,50,Certificate III/IV,2,41300,48016,51148,7.4,Moderate growth,6,49,43,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1492-call-contact-centre-and-customer-service-managers
Conference and Event Organisers,managers,Managers,conference-and-event-organisers,1493,79976,1538,40,Bachelor degree,2,35000,35816,38156,6.8,Moderate growth,22,71,36,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1493-conference-and-event-organisers
Transport Services Managers,managers,Managers,transport-services-managers,1494,92092,1771,46,Certificate III/IV,2,18300,18504,19606,6.9,Moderate growth,15,22,47,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1494-transport-services-managers
"Other Hospitality, Retail and Service Managers",managers,Managers,other-hospitality-retail-and-service-managers,1499,115076,2213,57,Certificate III/IV,2,94200,103028,109741,7.8,Moderate growth,16,37,46,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1499-other-hospitality-retail-and-service-managers
"Actors, Dancers and Other Entertainers",professionals,Professionals,actors-dancers-and-other-entertainers,2111,,,,Bachelor degree,1,7100,6020,6372,4.2,Stable,72,55,29,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2111-actors-dancers-and-other-entertainers
Music Professionals,professionals,Professionals,music-professionals,2112,,,,Bachelor degree,1,11100,12458,13136,3.5,Stable,59,44,32,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2112-music-professionals
Photographers,professionals,Professionals,photographers,2113,,,,Bachelor degree,2,15400,16024,16960,6.2,Moderate growth,31,49,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2113-photographers
Visual Arts and Crafts Professionals,professionals,Professionals,visual-arts-and-crafts-professionals,2114,,,,Bachelor degree,1,12200,12868,13571,2.8,Stable,48,60,51,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2114-visual-arts-and-crafts-professionals
"Artistic Directors, Media Producers and Presenters",professionals,Professionals,artistic-directors-media-producers-and-presenters,2121,97032,1866,47,Bachelor degree,1,14500,14866,16130,9.9,Moderate growth,19,42,46,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2121-artistic-directors-media-producers-and-presenters
"Authors, and Book and Script Editors",professionals,Professionals,authors-and-book-and-script-editors,2122,130000,2500,62,Bachelor degree,1,6200,5965,6454,9.8,Moderate growth,40,65,50,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2122-authors-and-book-and-script-editors
"Film, Television, Radio and Stage Directors",professionals,Professionals,film-television-radio-and-stage-directors,2123,96824,1862,48,Bachelor degree,1,16000,17950,19492,9.4,Moderate growth,16,20,35,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2123-film-television-radio-and-stage-directors
Journalists and Other Writers,professionals,Professionals,journalists-and-other-writers,2124,95784,1842,49,Bachelor degree,1,24700,28332,30767,10.9,Strong growth,31,59,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2124-journalists-and-other-writers
Accountants,professionals,Professionals,accountants,2211,95732,1841,48,Bachelor degree,1,206400,217808,234013,8.0,Moderate growth,15,53,41,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2211-accountants
"Auditors, Company Secretaries and Corporate Treasurers",professionals,Professionals,auditors-company-secretaries-and-corporate-treasurers,2212,106392,2046,54,Bachelor degree,1,34000,35479,38052,7.7,Moderate growth,10,50,37,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2212-auditors-company-secretaries-and-corporate-treasurers
Financial Brokers,professionals,Professionals,financial-brokers,2221,85020,1635,43,Advanced Diploma/Diploma,2,45800,47315,50052,6.2,Moderate growth,12,39,43,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2221-financial-brokers
Financial Dealers,professionals,Professionals,financial-dealers,2222,125164,2407,63,Bachelor degree,1,19100,21243,22543,6.0,Moderate growth,14,33,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2222-financial-dealers
Financial Investment Advisers and Managers,professionals,Professionals,financial-investment-advisers-and-managers,2223,120640,2320,61,Bachelor degree,1,61000,68371,72327,6.1,Moderate growth,14,38,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2223-financial-investment-advisers-and-managers
Human Resource Professionals,professionals,Professionals,human-resource-professionals,2231,97240,1870,50,Bachelor degree,1,90300,95969,103007,7.8,Moderate growth,17,71,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2231-human-resource-professionals
ICT Trainers,professionals,Professionals,ict-trainers,2232,,,,Bachelor degree,1,3100,3193,3429,9.8,Moderate growth,20,24,55,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2232-ict-trainers
Training and Development Professionals,professionals,Professionals,training-and-development-professionals,2233,111592,2146,57,Bachelor degree,1,31800,37085,39818,8.1,Moderate growth,19,53,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2233-training-and-development-professionals
"Actuaries, Mathematicians and Statisticians",professionals,Professionals,actuaries-mathematicians-and-statisticians,2241,115076,2213,58,Postgraduate degree,1,11700,13155,14560,18.7,Very strong growth,9,48,36,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2241-actuaries-mathematicians-and-statisticians
"Archivists, Curators and Records Managers",professionals,Professionals,archivists-curators-and-records-managers,2242,103740,1995,54,Postgraduate degree,1,9500,10247,11401,17.5,Very strong growth,27,80,41,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2242-archivists-curators-and-records-managers
Economists,professionals,Professionals,economists,2243,101608,1954,,Postgraduate degree,1,4400,5230,5747,16.9,Very strong growth,9,41,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2243-economists
Intelligence and Policy Analysts,professionals,Professionals,intelligence-and-policy-analysts,2244,100672,1936,52,Bachelor degree,1,43700,44268,48430,14.8,Strong growth,19,65,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2244-intelligence-and-policy-analysts
Land Economists and Valuers,professionals,Professionals,land-economists-and-valuers,2245,105092,2021,53,Bachelor degree,1,15400,15240,16806,19.6,Very strong growth,18,32,40,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2245-land-economists-and-valuers
Librarians,professionals,Professionals,librarians,2246,92560,1780,48,Postgraduate degree,1,11700,14357,15783,16.9,Very strong growth,31,66,53,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2246-librarians
Management and Organisation Analysts,professionals,Professionals,management-and-organisation-analysts,2247,120016,2308,61,Bachelor degree,1,112100,134312,148449,18.2,Very strong growth,17,43,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2247-management-and-organisation-analysts
Other Information and Organisation Professionals,professionals,Professionals,other-information-and-organisation-professionals,2249,112632,2166,57,Bachelor degree,1,53900,65331,72086,17.0,Very strong growth,14,53,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2249-other-information-and-organisation-professionals
Advertising and Marketing Professionals,professionals,Professionals,advertising-and-marketing-professionals,2251,93756,1803,48,Bachelor degree,1,103200,110468,120374,13.8,Strong growth,18,61,35,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2251-advertising-and-marketing-professionals
ICT Sales Professionals,professionals,Professionals,ict-sales-professionals,2252,166452,3201,82,Bachelor degree,1,16300,24447,26618,15.4,Very strong growth,7,33,40,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2252-ict-sales-professionals
Public Relations Professionals,professionals,Professionals,public-relations-professionals,2253,101348,1949,53,Bachelor degree,1,30600,34263,37357,13.3,Strong growth,22,69,35,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2253-public-relations-professionals
Technical Sales Representatives,professionals,Professionals,technical-sales-representatives,2254,135824,2612,68,Bachelor degree,1,27700,35486,38798,12.9,Strong growth,7,27,49,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2254-technical-sales-representatives
Air Transport Professionals,professionals,Professionals,air-transport-professionals,2311,129792,2496,65,Advanced Diploma/Diploma,1,15200,16267,17336,8.4,Moderate growth,12,4,40,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2311-air-transport-professionals
Marine Transport Professionals,professionals,Professionals,marine-transport-professionals,2312,115336,2218,52,Advanced Diploma/Diploma,2,10500,11174,11828,5.7,Moderate growth,12,5,48,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2312-marine-transport-professionals
Architects and Landscape Architects,professionals,Professionals,architects-and-landscape-architects,2321,87776,1688,44,Postgraduate degree,1,29500,34879,37568,10.5,Strong growth,19,32,43,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2321-architects-and-landscape-architects
Surveyors and Spatial Scientists,professionals,Professionals,surveyors-and-spatial-scientists,2322,119652,2301,59,Bachelor degree,1,18100,18632,20068,9.4,Moderate growth,7,12,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2322-surveyors-and-spatial-scientists
"Fashion, Industrial and Jewellery Designers",professionals,Professionals,fashion-industrial-and-jewellery-designers,2323,78000,1500,40,Bachelor degree,1,14700,16567,17867,7.5,Moderate growth,15,45,36,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2323-fashion-industrial-and-jewellery-designers
"Graphic and Web Designers, and Illustrators",professionals,Professionals,graphic-and-web-designers-and-illustrators,2324,78000,1500,40,Bachelor degree,1,53000,60832,65656,9.7,Moderate growth,23,50,37,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2324-graphic-and-web-designers-and-illustrators
Interior Designers,professionals,Professionals,interior-designers,2325,135824,2612,65,Bachelor degree,2,17900,16825,18116,10.9,Strong growth,27,74,43,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2325-interior-designers
Urban and Regional Planners,professionals,Professionals,urban-and-regional-planners,2326,105872,2036,57,Bachelor degree,1,20700,20591,22038,8.2,Moderate growth,14,46,41,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2326-urban-and-regional-planners
Chemical and Materials Engineers,professionals,Professionals,chemical-and-materials-engineers,2331,,,,Bachelor degree,1,7200,7408,8070,10.5,Strong growth,7,22,36,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2331-chemical-and-materials-engineers
Civil Engineering Professionals,professionals,Professionals,civil-engineering-professionals,2332,117728,2264,60,Bachelor degree,1,72800,85548,92505,11.3,Strong growth,10,17,33,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2332-civil-engineering-professionals
Electrical Engineers,professionals,Professionals,electrical-engineers,2333,,,,Bachelor degree,1,29600,29915,32423,10.7,Strong growth,8,12,35,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2333-electrical-engineers
Electronics Engineers,professionals,Professionals,electronics-engineers,2334,92664,1782,44,Bachelor degree,1,6200,7063,7688,8.8,Moderate growth,14,14,47,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2334-electronics-engineers
"Industrial, Mechanical and Production Engineers",professionals,Professionals,industrial-mechanical-and-production-engineers,2335,111852,2151,58,Bachelor degree,1,39100,44335,48200,8.6,Moderate growth,8,7,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2335-industrial-mechanical-and-production-engineers
Mining Engineers,professionals,Professionals,mining-engineers,2336,174980,3365,86,Bachelor degree,1,15400,14123,15317,9.3,Moderate growth,7,11,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2336-mining-engineers
Other Engineering Professionals,professionals,Professionals,other-engineering-professionals,2339,130104,2502,62,Bachelor degree,1,16700,16246,17683,10.5,Strong growth,12,12,36,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2339-other-engineering-professionals
Agricultural and Forestry Scientists,professionals,Professionals,agricultural-and-forestry-scientists,2341,100568,1934,53,Bachelor degree,1,9500,9475,10137,7.9,Moderate growth,18,30,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2341-agricultural-and-forestry-scientists
"Chemists, and Food and Wine Scientists",professionals,Professionals,chemists-and-food-and-wine-scientists,2342,95056,1828,48,Bachelor degree,1,10300,10875,11631,5.9,Moderate growth,13,43,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2342-chemists-and-food-and-wine-scientists
Environmental Scientists,professionals,Professionals,environmental-scientists,2343,95732,1841,48,Bachelor degree,1,29900,31547,33628,6.5,Moderate growth,22,44,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2343-environmental-scientists
"Geologists, Geophysicists and Hydrogeologists",professionals,Professionals,geologists-geophysicists-and-hydrogeologists,2344,136136,2618,66,Bachelor degree,1,13300,12422,13371,5.6,Moderate growth,10,23,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2344-geologists-geophysicists-and-hydrogeologists
Life Scientists,professionals,Professionals,life-scientists,2345,101296,1948,54,Postgraduate degree,1,10700,11347,12230,9.3,Moderate growth,21,51,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2345-life-scientists
Medical Laboratory Scientists,professionals,Professionals,medical-laboratory-scientists,2346,104208,2004,55,Bachelor degree,1,29700,32932,36288,11.3,Strong growth,25,65,40,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2346-medical-laboratory-scientists
Veterinarians,professionals,Professionals,veterinarians,2347,96824,1862,43,Bachelor degree,1,12300,15443,16524,8.4,Moderate growth,25,71,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2347-veterinarians
Other Natural and Physical Science Professionals,professionals,Professionals,other-natural-and-physical-science-professionals,2349,106704,2052,56,Postgraduate degree,1,15000,16459,18173,10.3,Strong growth,16,35,32,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2349-other-natural-and-physical-science-professionals
Early Childhood (Pre-primary School) Teachers,professionals,Professionals,early-childhood-pre-primary-school-teachers,2411,86320,1660,44,Bachelor degree,1,73700,63241,66701,3.0,Stable,50,97,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2411-early-childhood-pre-primary-school-teachers
Primary School Teachers,professionals,Professionals,primary-school-teachers,2412,104000,2000,56,Bachelor degree,1,164300,166894,175915,2.9,Stable,35,85,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2412-primary-school-teachers
Middle School Teachers,professionals,Professionals,middle-school-teachers,2413,,,,Bachelor degree,1,1300,1373,1448,3.0,Stable,36,56,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2413-middle-school-teachers
Secondary School Teachers,professionals,Professionals,secondary-school-teachers,2414,112632,2166,58,Bachelor degree,1,146400,143857,151612,2.9,Stable,22,62,42,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2414-secondary-school-teachers
Special Education Teachers,professionals,Professionals,special-education-teachers,2415,111956,2153,60,Bachelor degree,1,30000,28246,29983,4.2,Stable,36,83,42,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2415-special-education-teachers
University Lecturers and Tutors,professionals,Professionals,university-lecturers-and-tutors,2421,142064,2732,73,Postgraduate degree,1,65200,69518,76001,13.2,Strong growth,29,49,46,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2421-university-lecturers-and-tutors
Vocational Education Teachers,professionals,Professionals,vocational-education-teachers,2422,98072,1886,50,Postgraduate degree,1,35400,37754,41132,11.1,Strong growth,30,44,51,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2422-vocational-education-teachers
Education Advisers and Reviewers,professionals,Professionals,education-advisers-and-reviewers,2491,128856,2478,68,Postgraduate degree,1,24900,26785,28640,7.4,Moderate growth,26,71,42,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2491-education-advisers-and-reviewers
Private Tutors and Teachers,professionals,Professionals,private-tutors-and-teachers,2492,97552,1876,52,Bachelor degree,1,44300,47555,50730,6.8,Moderate growth,80,66,32,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2492-private-tutors-and-teachers
Teachers of English to Speakers of Other Languages,professionals,Professionals,teachers-of-english-to-speakers-of-other-languages,2493,106756,2053,59,Postgraduate degree,1,4000,3019,3227,7.5,Moderate growth,76,89,51,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2493-teachers-of-english-to-speakers-of-other-languages
Nutrition Professionals,professionals,Professionals,nutrition-professionals,2511,108680,2090,,Postgraduate degree,1,6900,8735,9844,15.6,Very strong growth,56,86,37,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2511-nutrition-professionals
Medical Imaging Professionals,professionals,Professionals,medical-imaging-professionals,2512,119444,2297,61,Bachelor degree,1,23000,25890,29375,16.4,Very strong growth,34,74,35,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2512-medical-imaging-professionals
Occupational and Environmental Health Professionals,professionals,Professionals,occupational-and-environmental-health-professionals,2513,111020,2135,55,Bachelor degree,1,38800,39701,42947,10.6,Strong growth,11,46,45,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2513-occupational-and-environmental-health-professionals
Optometrists and Orthoptists,professionals,Professionals,optometrists-and-orthoptists,2514,118560,2280,60,Bachelor degree,1,9300,11616,13179,16.4,Very strong growth,25,58,35,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2514-optometrists-and-orthoptists
Pharmacists,professionals,Professionals,pharmacists,2515,107692,2071,55,Bachelor degree,1,42000,43126,46422,10.8,Strong growth,35,66,37,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2515-pharmacists
Other Health Diagnostic and Promotion Professionals,professionals,Professionals,other-health-diagnostic-and-promotion-professionals,2519,94224,1812,48,Postgraduate degree,1,11000,11894,13287,14.2,Strong growth,35,84,41,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2519-other-health-diagnostic-and-promotion-professionals
Chiropractors and Osteopaths,professionals,Professionals,chiropractors-and-osteopaths,2521,,,,Postgraduate degree,1,8300,11183,12723,17.7,Very strong growth,40,45,32,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2521-chiropractors-and-osteopaths
Complementary Health Therapists,professionals,Professionals,complementary-health-therapists,2522,,,,Bachelor degree,1,9800,11921,13481,17.0,Very strong growth,65,80,47,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2522-complementary-health-therapists
Dental Practitioners,professionals,Professionals,dental-practitioners,2523,201604,3877,102,Bachelor degree,1,22300,22630,25728,17.6,Very strong growth,37,52,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2523-dental-practitioners
Occupational Therapists,professionals,Professionals,occupational-therapists,2524,79352,1526,40,Bachelor degree,1,29400,34382,38953,17.2,Very strong growth,37,89,34,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2524-occupational-therapists
Physiotherapists,professionals,Professionals,physiotherapists,2525,88920,1710,43,Bachelor degree,1,46300,52695,59875,17.6,Very strong growth,34,56,35,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2525-physiotherapists
